type,municipality_1,municipality_2,municipality_3,municipality_4,municipality_5
offshore-wind,Rotterdam,Westland,The Hague,Wassenaar,Westvoorne
onshore-large,Westvoorne,Brielle,Hellevoetsluis,,
onshore-large,Nissewaard,Brielle,Hellevoetsluis,,
onshore-large,Nissewaard,Albrandswaard,Rotterdam,,
onshore-large,Barendrecht,Albrandswaard,Rotterdam,,
onshore-large,Barendrecht,Ridderkerk,Rotterdam,,
onshore-large,Westland,Midden-Delfland,,,
onshore-large,Vlaardingen,Midden-Delfland,Maassluis,,
onshore-large,Vlaardingen,Midden-Delfland,Schiedam,,
onshore-large,Westland,The Hague,,,
onshore-large,Wassenaar,The Hague,,,
onshore-large,Leidschendam,Zoetermeer,The Hague,,
onshore-large,Leidschendam,Zoetermeer,,,
onshore-large,Pijnacker-Nootdorp,Zoetermeer,Lansingerland,,
onshore-large,Pijnacker-Nootdorp,Rotterdam,Lansingerland,,
onshore-medium,Westvoorne,,,,
onshore-medium,Westvoorne,Brielle,,,
onshore-medium,Westvoorne,Hellevoetsluis,,,
onshore-medium,Brielle,Hellevoetsluis,,,
onshore-medium,Brielle,Nissewaard,,,
onshore-medium,Hellevoetsluis,Nissewaard,,,
onshore-medium,Nissewaard,Albrandswaard,Rotterdam,,
onshore-medium,Barendrecht,Albrandswaard,,,
onshore-medium,Westland,Midden-Delfland,,,
onshore-medium,Vlaardingen,Midden-Delfland,,,
onshore-medium,Schiedam,Midden-Delfland,,,
onshore-medium,Schiedam,Rotterdam,,,
onshore-medium,Schiedam,Rotterdam,Delft,,
onshore-medium,Pijnacker-Nootdorp,Rotterdam,Delft,,
onshore-medium,Pijnacker-Nootdorp,Rotterdam,,,
onshore-medium,Lansingerland,Rotterdam,,,
onshore-medium,Lansingerland,Pijnacker-Nootdorp,,,
onshore-medium,Midden-Delfland,Delft,,,
onshore-medium,The Hague,Wassenaar,,,
onshore-medium,Leidschendam,Zoetermeer,,,
onshore-small,Wassenaar,,,,
onshore-small,Leidschendam,,,,
onshore-small,Zoetermeer,,,,
onshore-small,Pijnacker-Nootdorp,,,,
onshore-small,Lansingerland,,,,
onshore-small,Lansingerland,Pijnacker-Nootdorp,,,
onshore-small,Zoetermeer,Leidschendam,,,
onshore-small,The Hague,Wassenaar,,,
onshore-small,Pijnacker-Nootdorp,Rotterdam,,,
onshore-small,Pijnacker-Nootdorp,Rotterdam,Lansingerland,,
onshore-small,Pijnacker-Nootdorp,Rotterdam,Delft,,
onshore-small,Rotterdam,Midden-Delfland,Delft,,
onshore-small,Delft,,,,
onshore-small,Rotterdam,,,,
onshore-small,Schiedam,,,,
onshore-small,Vlaardingen,,,,
onshore-small,Midden-Delfland,,,,
onshore-small,Westland,,,,
onshore-small,Westland,Midden-Delfland,,,
onshore-small,Midden-Delfland,Vlaardingen,,,
onshore-small,Vlaardingen,,,,
onshore-small,,,,,
